P08758	reaction	P50990
O15520	activation	P08069
O43323	catalysis	Q5VTY9
Q9H0H5	reaction	Q9NRC6
O43447	reaction	Q92917
ENSP00000357869	binding	ENSP00000483312
O60749	reaction	O75061
P0C024	reaction	Q99489
ENSP00000480158	reaction	O75530
P00403	binding	P24310
O14974	binding	Q9BZL4
Q92905	catalysis	Q9P2J3
O43709	activation	Q13895
Q8IXI2	catalysis	Q9NXL2
E7ENQ6	binding	P27707
O14746	binding	P12956
P18507	binding	Q8N1C3
P61964	binding	Q9UBU8
M0R3H8	catalysis	Q96T76
ENSP00000248706	activation	P29992
P58876	binding	Q08945
P0CG48	catalysis	Q99708
P01116	catalysis	P35568
Q14692	binding	Q9Y2R9
ENSP00000470087	catalysis	P17980
O60684	binding	Q9Y3B2
P17252	catalysis	Q92997
P35228	reaction	Q2T9J0
O15397	catalysis	P37198
Q08050	activation	Q9Y6Q9
P0DMV9	reaction	Q01813
Q92901	reaction	Q9Y4W2
A6NHC0	reaction	P27361
P27361	activation	Q05513
O43638	binding	O60264
Q5T7P3	reaction	Q5TCM9
P62834	reaction	Q5JV73
P61224	reaction	Q96AX2
O00232	reaction	Q9Y615
P09769	activation	P63096
O95072	catalysis	Q6ZMN8
O00238	activation	Q7Z4P5
O15399	binding	Q96M69
P63272	activation	Q96P16
Q8TD19	activation	Q9UL26
O95755	binding	Q9Y3P9
O95406	reaction	P56962
Q3L8U1	activation	Q99743
P22415	binding	Q92831
Q96AH8	activation	Q9HA65
P31323	activation	Q5JWF2
Q12959	reaction	Q9H4G0
P48556	catalysis	Q9H1A4
P63244	binding	Q9Y2R9
ENSP00000457689	reaction	O60861
P11802	catalysis	P62136
P55072	binding	Q96IV0
O15264	activation	P49715
Q5VVJ2	binding	Q99879
P11233	activation	P43405
P41240	activation	P61586
P32456	reaction	Q92985
P04040	reaction	P28482
O15294	catalysis	Q99525
O15520	activation	P08581
P01023	reaction	P14210
Q5JV73	reaction	Q9Y272
ENSP00000480986	binding	P67870
P29590	catalysis	P49792
ENSP00000359871	activation	Q9BYK8
K7ERQ8	binding	Q86WJ1
Q969X6	binding	Q9Y4C8
ENSP00000295902	binding	ENSP00000422007
Q5S007	activation	U3KQV3
Q9HAP6	binding	Q9Y219
P38936	catalysis	Q15329
P60953	binding	Q9NSB8
ENSP00000483312	catalysis	P34932
ENSP00000467740	catalysis	O43242
O15211	activation	Q9BYZ6
P21802	activation	P46108
P35998	catalysis	Q5JPF3
P42696	binding	Q9UHL0
H0YIN7	binding	Q15050
Q99878	catalysis	Q9GZS1
O00487	catalysis	P51668
O00139	reaction	Q9NSK0
ENSP00000464265	catalysis	P51665
P61163	binding	Q9Y265
P08913	activation	Q14344
P40197	reaction	Q86XX4
P52732	reaction	Q14204
ENSP00000283179	binding	O95793
P19012	binding	Q7RTS7
P27361	activation	Q9UBY0
P35222	activation	Q9NR61
O75369	binding	P80108
P08754	catalysis	P10275
O75874	reaction	P30613
Q8WXH4	catalysis	Q99460
Q5TCZ1	binding	Q96S53
P36405	binding	Q5TEA3
P30041	reaction	Q15084
Q9Y239	catalysis	Q9Y4K3
P31930	binding	Q96AK3
Q6ZVH7	catalysis	Q92905
P46531	binding	Q16665
O95886	binding	Q86YM7
P32119	catalysis	Q86VQ3
K7ERQ8	reaction	P15153
P01111	activation	Q8TD86
Q8WYP3	activation	Q9BU20
ENSP00000339484	catalysis	Q6GQQ9
Q15067	reaction	Q9Y232
Q96KV7	binding	Q9Y230
P38646	catalysis	Q8WUM0
P10599	catalysis	P18031
P35052	catalysis	Q15796
O75165	reaction	Q9UL26
P17987	binding	P57775
Q86XX4	reaction	Q9H069
P13224	activation	P42338
ENSP00000313756	catalysis	O00232
ENSP00000379873	catalysis	P41240
Q12981	binding	Q96AJ9
O95817	catalysis	Q0VDF9
P36507	catalysis	Q07002
P05231	binding	Q9BYH8
P04085	activation	Q15303
P35998	reaction	Q12931
O00233	catalysis	P24941
Q15008	catalysis	Q8WWL7
P43405	activation	Q92963
P36915	binding	P49207
Q6P597	reaction	Q8NI77
Q8WYP3	activation	Q9Y272
O43709	activation	P49674
ENSP00000364678	binding	Q6PCT2
P62191	catalysis	P63208
P62241	binding	Q9GZL7
O95166	catalysis	Q5MNZ9
P30613	reaction	Q06830
P46087	binding	Q15397
O95782	reaction	Q9Y487
O75832	catalysis	Q01201
P56645	catalysis	P68400
A6NHQ2	binding	Q14690
ENSP00000483312	binding	P42568
ENSP00000248706	activation	Q96P48
ENSP00000377601	catalysis	Q9ULJ6
Q5SQN1	binding	Q9UNK0
ENSP00000385695	reaction	O15121
P20339	binding	Q6DHY5
Q02241	reaction	Q15058
P09651	catalysis	Q9HCD5
ENSP00000477707	binding	Q14686
B2RTY4	binding	Q13643
ENSP00000437957	reaction	Q0VDF9
ENSP00000466897	catalysis	P52948
Q5TZF3	catalysis	Q8NFH4
ENSP00000454370	binding	P41214
P52630	activation	Q9NYK1
Q5PSV4	binding	Q92769
P25789	catalysis	Q15653
O00141	catalysis	Q5S007
O15266	binding	Q86U70
P43360	binding	Q13263
P68366	reaction	Q8IXB1
P07355	reaction	P08246
P28062	catalysis	P30154
ENSP00000478610	reaction	P52333
P60510	binding	Q9UQ13
P62753	activation	Q86X55
Q15014	catalysis	Q96QV6
O43157	catalysis	P62745
Q01094	activation	Q13415
P10515	binding	P14618
ENSP00000454038	reaction	Q9ULI0
ENSP00000305702	reaction	Q9NPD8
P13010	binding	Q12905
ENSP00000436552	reaction	P08581
ENSP00000307959	binding	P26010
O43639	binding	Q14161
ENSP00000417240	binding	P63244
ENSP00000440222	binding	P49756
K7ERQ8	activation	Q96I51
O75487	reaction	P51654
Q5S007	binding	Q9H8H2
Q71UI9	catalysis	Q9UIG0
O43242	catalysis	Q15653
P04839	reaction	P62834
ENSP00000313756	catalysis	Q9UNM6
Q15397	binding	Q9H7B2
P43353	reaction	P98196
Q7RTR0	binding	Q9Y2G2
Q8TDM6	catalysis	Q96LR5
P54652	reaction	Q8N427
P42226	reaction	Q92830
ENSP00000354432	catalysis	P28066
O75832	catalysis	Q13177
O15232	activation	P78536
P10301	reaction	Q5SYB0
P62330	binding	Q5TCQ9
Q9BT78	catalysis	Q9BW61
Q9Y265	binding	Q9Y615
ENSP00000219439	binding	Q9Y394
Q08AG7	binding	Q6NZ67
ENSP00000202017	binding	P61758
Q969Q5	reaction	Q9UNH6
Q9H3G5	reaction	Q9UNN5
