Q04305	activation	P0CX29
Q08235	binding	P40693
P37012	reaction	P32379
P40327	catalysis	P09119
Q12267	catalysis	P32943
Q00578	reaction	P13434
P25635	catalysis	Q05636
Q12481	activation	P27476
P33750	activation	Q03799
P35180	catalysis	P00890
P35184	binding	Q03862
Q08965	activation	P53732
P06774	binding	Q02206
Q04660	binding	P48234
P36005	activation	Q04175
P38074	activation	P26786
P40007	binding	P46990
P69852	binding	P38907
Q12692	binding	Q07442
Q12216	catalysis	Q12004
P25454	activation	P52490
P32600	catalysis	P06701
P39959	reaction	P39678
Q12072	binding	P02293
P11484	binding	P07260
P31787	reaction	P15202
P32499	catalysis	P34761
P38151	binding	P50094
P39722	catalysis	P04821
P40066	activation	Q12315
P36533	binding	P05738
P47047	activation	P36005
Q06103	catalysis	P39109
P20486	catalysis	P50086
P09119	activation	P13382
P38013	catalysis	P22803
P36070	binding	P20434
P40016	catalysis	P30283
P15891	reaction	Q12406
P38696	reaction	P16892
Q08096	activation	P27476
P50623	catalysis	P52918
P14681	activation	P03069
P01120	catalysis	P32525
Q12267	catalysis	P00546
P36005	activation	P17442
P32527	catalysis	P32589
P48439	reaction	P36018
P36136	reaction	P00549
P35845	activation	P32485
P39708	activation	P06782
Q06512	binding	P39516
Q06411	reaction	P19736
P39076	reaction	P32565
Q01389	activation	P43563
P16603	activation	P38615
P54861	activation	Q92328
P38347	catalysis	P39955
P49704	activation	P53883
P23639	reaction	P22515
Q12469	catalysis	P32492
P08964	catalysis	P53879
Q05022	catalysis	P53859
P30283	catalysis	Q12267
P25719	catalysis	P0CS90
Q05123	reaction	P32379
P38985	reaction	P33299
Q12442	activation	Q04412
P53188	binding	P39715
P49704	binding	P27929
P43321	binding	P36009
P32805	reaction	P39678
P38297	catalysis	P36163
P10591	binding	P20053
Q08096	binding	P53866
Q08285	catalysis	P53131
P36163	catalysis	P38297
P07278	activation	Q12675
Q03792	reaction	P60010
Q06409	reaction	Q06350
P32324	reaction	P0CH08
Q06679	activation	P35178
P40517	catalysis	P32605
P38555	reaction	P01120
P09938	catalysis	P22803
Q12692	catalysis	P24869
Q08962	activation	P25443
P46675	catalysis	P07560
P22219	activation	P38182
P38991	catalysis	P38615
P08153	activation	P38634
P17967	reaction	P32474
P38764	reaction	P16474
P33333	reaction	Q06144
Q02784	binding	P32561
P32567	binding	Q05521
P36775	reaction	P43567
P32333	binding	P21538
P34760	reaction	P14681
Q08032	activation	P38121
P46683	activation	P19454
Q02775	reaction	Q06217
Q08985	binding	P43623
P00175	catalysis	P47045
P47150	activation	P40362
P35845	binding	P15454
P35180	catalysis	P61829
P32892	binding	Q05946
P14832	reaction	P02994
P50095	reaction	P24784
P33895	binding	P53148
P00175	catalysis	P04037
P38285	catalysis	Q12250
P35817	reaction	P24482
P06738	binding	P0CW40
P0CX25	catalysis	Q08285
P47083	binding	P53866
P40024	binding	P38344
Q05636	catalysis	Q04177
P23644	catalysis	P61829
P32454	reaction	P38142
P21243	catalysis	Q02979
P32383	activation	P19146
P53879	catalysis	P36003
P21954	reaction	Q01574
P15108	reaction	P32499
P36010	reaction	P27515
P48365	activation	P40515
Q08962	activation	Q05946
Q99260	reaction	P38065
P38792	catalysis	Q04500
P36005	activation	P35845
P25586	catalysis	Q08285
P18410	binding	P40164
P38925	reaction	P36126
P10663	binding	P38175
P38692	reaction	P33328
P10823	binding	P39717
P53883	activation	P25368
P10081	activation	Q04660
Q12220	activation	P39684
P20436	binding	P32583
Q08032	catalysis	P38111
P23638	catalysis	P52286
Q02979	catalysis	Q01939
P32499	catalysis	Q04175
P08067	binding	P22135
P39567	reaction	P40016
P32898	catalysis	Q07540
P42840	reaction	P31787
Q04031	activation	Q02354
P47035	binding	P54785
P24870	catalysis	P32567
P32336	catalysis	P43588
P54867	activation	Q06412
P51402	binding	P53927
P46965	binding	P40088
P53312	reaction	P21242
P48234	binding	P05750
